modelo,accuracy_media,accuracy_desvio,precision_macro_media,precision_macro_desvio,recall_macro_media,recall_macro_desvio,f1_macro_media,f1_macro_desvio,recall_alto_media,recall_alto_desvio
Regressão Logística,0.95625,0.010216408370851296,0.9617902866084174,0.009182027301530034,0.9605645537996226,0.009734266285870798,0.961085834603223,0.009259616219593628,0.9936224073166748,0.004028412291129645
Random Forest,0.9804999999999999,0.004513867521316938,0.9855480777591781,0.004037415381998957,0.9802037437440717,0.004450539836981765,0.9826417228655833,0.004262897441112651,1.0,0.0
Gradient Boosting,0.9782499999999998,0.006782329983125252,0.9827483632033889,0.006405943236250571,0.9781762715882548,0.006833961263250418,0.980293201427564,0.0066134769634108494,0.997452229299363,0.005095541401273884
